caseID;earliness;avg_alarms;avg_true_alarms
3601;0,98440;0,49000;0,92000
3602;0,98440;0,49000;0,92000
3603;0,98438;0,49000;0,91000
3604;0,98382;0,50000;0,91000
3605;0,98378;0,50000;0,91000
3606;0,98378;0,50000;0,91000
3607;0,98366;0,50000;0,91000
3608;0,98329;0,51000;0,91000
3609;0,98393;0,50000;0,91000
3610;0,98352;0,51000;0,91000
3611;0,98320;0,52000;0,91000
3612;0,98347;0,51000;0,91000
3613;0,98347;0,51000;0,91000
3614;0,98366;0,51000;0,90000
3615;0,98378;0,51000;0,90000
3616;0,98407;0,50000;0,90000
3617;0,98407;0,50000;0,90000
3618;0,98423;0,49000;0,90000
3619;0,98397;0,50000;0,90000
3620;0,98377;0,51000;0,89000
3621;0,98408;0,50000;0,89000
3622;0,98408;0,50000;0,89000
3623;0,98448;0,49000;0,89000
3624;0,98449;0,49000;0,90000
3625;0,98449;0,49000;0,90000
3626;0,98472;0,48000;0,90000
3627;0,98472;0,48000;0,90000
3628;0,98426;0,49000;0,90000
3629;0,98411;0,49000;0,91000
3630;0,98434;0,48000;0,92000
3631;0,98437;0,48000;0,92000
3632;0,98437;0,48000;0,92000
3633;0,98406;0,49000;0,92000
3634;0,98387;0,50000;0,92000
3635;0,98371;0,51000;0,92000
3636;0,98393;0,50000;0,92000
3637;0,98393;0,50000;0,92000
3638;0,98413;0,49000;0,92000
3639;0,98413;0,49000;0,92000
3640;0,98413;0,49000;0,92000
3641;0,98396;0,50000;0,91000
3642;0,98380;0,51000;0,91000
3643;0,98381;0,51000;0,91000
3644;0,98378;0,51000;0,91000
3645;0,98349;0,52000;0,91000
3646;0,98374;0,52000;0,92000
3647;0,98405;0,51000;0,92000
3648;0,98447;0,50000;0,92000
3649;0,98421;0,51000;0,92000
3650;0,98421;0,51000;0,92000
3651;0,98418;0,51000;0,92000
3652;0,98423;0,51000;0,92000
3653;0,98390;0,52000;0,92000
3654;0,98411;0,52000;0,92000
3655;0,98432;0,51000;0,92000
3656;0,98535;0,50000;0,93000
3657;0,98560;0,49000;0,94000
3658;0,98605;0,48000;0,95000
3659;0,98642;0,47000;0,95000
3660;0,98668;0,46000;0,95000
3661;0,98668;0,46000;0,95000
3662;0,98627;0,47000;0,95000
3663;0,98651;0,46000;0,95000
3664;0,98644;0,46000;0,95000
3665;0,98644;0,46000;0,95000
3666;0,98602;0,47000;0,95000
3667;0,98579;0,48000;0,95000
3668;0,98579;0,48000;0,95000
3669;0,98562;0,49000;0,94000
3670;0,98562;0,49000;0,94000
3671;0,98562;0,49000;0,94000
3672;0,98562;0,49000;0,94000
3673;0,98539;0,50000;0,94000
3674;0,98515;0,51000;0,94000
3675;0,98490;0,52000;0,94000
3676;0,98483;0,52000;0,94000
3677;0,98489;0,52000;0,94000
3678;0,98464;0,53000;0,94000
3679;0,98441;0,53000;0,94000
3680;0,98429;0,53000;0,95000
3681;0,98426;0,53000;0,95000
3682;0,98506;0,52000;0,95000
3683;0,98461;0,53000;0,95000
3684;0,98461;0,53000;0,95000
3685;0,98461;0,53000;0,95000
3686;0,98461;0,53000;0,95000
3687;0,98427;0,54000;0,95000
3688;0,98427;0,54000;0,95000
3689;0,98433;0,54000;0,95000
3690;0,98433;0,54000;0,95000
3691;0,98459;0,53000;0,95000
3692;0,98492;0,52000;0,95000
3693;0,98527;0,51000;0,95000
3694;0,98558;0,50000;0,95000
3695;0,98565;0,50000;0,95000
3696;0,98539;0,51000;0,95000
3697;0,98542;0,51000;0,95000
3698;0,98542;0,51000;0,95000
3699;0,98527;0,52000;0,94000
3700;0,98536;0,52000;0,93000
3701;0,98537;0,52000;0,92000
3702;0,98537;0,52000;0,92000
3703;0,98530;0,52000;0,93000
3704;0,98559;0,52000;0,93000
3705;0,98565;0,52000;0,93000
3706;0,98535;0,53000;0,93000
3707;0,98577;0,52000;0,93000
3708;0,98614;0,51000;0,93000
3709;0,98614;0,51000;0,93000
3710;0,98633;0,51000;0,93000
3711;0,98650;0,51000;0,92000
3712;0,98650;0,51000;0,92000
3713;0,98613;0,52000;0,92000
3714;0,98629;0,51000;0,93000
3715;0,98614;0,51000;0,93000
3716;0,98588;0,52000;0,93000
3717;0,98543;0,53000;0,92000
3718;0,98510;0,54000;0,92000
3719;0,98536;0,53000;0,92000
3720;0,98528;0,53000;0,93000
3721;0,98528;0,53000;0,93000
3722;0,98487;0,54000;0,93000
3723;0,98487;0,54000;0,93000
3724;0,98505;0,53000;0,93000
3725;0,98505;0,53000;0,93000
3726;0,98489;0,54000;0,92000
3727;0,98489;0,54000;0,92000
3728;0,98497;0,54000;0,92000
3729;0,98494;0,54000;0,92000
3730;0,98449;0,55000;0,92000
3731;0,98483;0,54000;0,92000
3732;0,98469;0,55000;0,92000
3733;0,98469;0,55000;0,92000
3734;0,98449;0,55000;0,92000
3735;0,98466;0,54000;0,92000
3736;0,98466;0,54000;0,92000
3737;0,98466;0,54000;0,92000
3738;0,98446;0,55000;0,92000
3739;0,98446;0,55000;0,92000
3740;0,98446;0,55000;0,92000
3741;0,98463;0,54000;0,93000
3742;0,98458;0,54000;0,93000
3743;0,98448;0,54000;0,93000
3744;0,98476;0,53000;0,93000
3745;0,98485;0,53000;0,92000
3746;0,98472;0,53000;0,91000
3747;0,98432;0,54000;0,91000
3748;0,98432;0,54000;0,91000
3749;0,98421;0,54000;0,91000
3750;0,98421;0,54000;0,91000
3751;0,98458;0,53000;0,91000
3752;0,98458;0,53000;0,90000
3753;0,98490;0,52000;0,90000
3754;0,98479;0,52000;0,89000
3755;0,98479;0,52000;0,89000
3756;0,98479;0,52000;0,89000
3757;0,98479;0,52000;0,89000
3758;0,98479;0,52000;0,89000
3759;0,98462;0,53000;0,88000
3760;0,98416;0,54000;0,88000
3761;0,98393;0,55000;0,88000
3762;0,98393;0,55000;0,88000
3763;0,98393;0,55000;0,88000
3764;0,98425;0,54000;0,88000
3765;0,98400;0,55000;0,87000
3766;0,98414;0,55000;0,87000
3767;0,98438;0,54000;0,87000
3768;0,98438;0,54000;0,87000
3769;0,98413;0,54000;0,88000
3770;0,98367;0,55000;0,88000
3771;0,98367;0,55000;0,88000
3772;0,98367;0,55000;0,88000
3773;0,98377;0,55000;0,87000
3774;0,98400;0,54000;0,87000
3775;0,98426;0,53000;0,87000
3776;0,98461;0,52000;0,87000
3777;0,98447;0,52000;0,86000
3778;0,98473;0,51000;0,86000
3779;0,98515;0,50000;0,86000
3780;0,98528;0,50000;0,86000
3781;0,98558;0,49000;0,86000
3782;0,98328;0,50000;0,85000
3783;0,98331;0,50000;0,84000
3784;0,98331;0,50000;0,84000
3785;0,98310;0,51000;0,83000
3786;0,98264;0,52000;0,83000
3787;0,98298;0,51000;0,83000
3788;0,98268;0,52000;0,83000
3789;0,98269;0,52000;0,83000
3790;0,98269;0,52000;0,83000
3791;0,98269;0,52000;0,83000
3792;0,98269;0,52000;0,83000
3793;0,98269;0,52000;0,83000
3794;0,98252;0,53000;0,82000
3795;0,98286;0,52000;0,82000
3796;0,98312;0,51000;0,82000
3797;0,98301;0,51000;0,82000
3798;0,98287;0,52000;0,81000
3799;0,98302;0,51000;0,82000
3800;0,98326;0,50000;0,83000
3801;0,98329;0,50000;0,84000
3802;0,98329;0,50000;0,84000
3803;0,98337;0,50000;0,84000
3804;0,98322;0,50000;0,84000
3805;0,98316;0,50000;0,84000
3806;0,98345;0,49000;0,84000
3807;0,98345;0,49000;0,83000
3808;0,98345;0,49000;0,83000
3809;0,98345;0,49000;0,83000
3810;0,98346;0,49000;0,83000
3811;0,98330;0,49000;0,84000
3812;0,98301;0,50000;0,84000
3813;0,98338;0,49000;0,84000
3814;0,98338;0,49000;0,84000
3815;0,98370;0,48000;0,84000
3816;0,98397;0,47000;0,84000
3817;0,98442;0,46000;0,85000
3818;0,98474;0,45000;0,85000
3819;0,98450;0,46000;0,85000
3820;0,98478;0,45000;0,85000
3821;0,98443;0,46000;0,84000
3822;0,98439;0,46000;0,84000
3823;0,98439;0,46000;0,84000
3824;0,98399;0,47000;0,84000
3825;0,98399;0,47000;0,84000
3826;0,98416;0,46000;0,85000
3827;0,98381;0,47000;0,85000
3828;0,98389;0,47000;0,85000
3829;0,98365;0,47000;0,84000
3830;0,98393;0,47000;0,83000
3831;0,98369;0,48000;0,83000
3832;0,98383;0,47000;0,83000
3833;0,98415;0,46000;0,83000
3834;0,98422;0,46000;0,83000
3835;0,98422;0,46000;0,83000
3836;0,98396;0,47000;0,83000
3837;0,98359;0,48000;0,82000
3838;0,98344;0,48000;0,82000
3839;0,98344;0,48000;0,82000
3840;0,98322;0,49000;0,81000
3841;0,98322;0,49000;0,81000
3842;0,98318;0,49000;0,81000
3843;0,98352;0,48000;0,81000
3844;0,98318;0,49000;0,81000
3845;0,98338;0,48000;0,82000
3846;0,98367;0,47000;0,83000
3847;0,98407;0,46000;0,83000
3848;0,98367;0,47000;0,83000
3849;0,98404;0,46000;0,83000
3850;0,98404;0,46000;0,83000
3851;0,98369;0,47000;0,83000
3852;0,98336;0,47000;0,83000
3853;0,98309;0,48000;0,83000
3854;0,98316;0,48000;0,83000
3855;0,98275;0,49000;0,83000
3856;0,98249;0,50000;0,82000
3857;0,98220;0,51000;0,81000
3858;0,98183;0,52000;0,81000
3859;0,98200;0,51000;0,82000
3860;0,98207;0,51000;0,82000
3861;0,98210;0,51000;0,82000
3862;0,98229;0,51000;0,82000
3863;0,98202;0,52000;0,82000
3864;0,98152;0,53000;0,81000
3865;0,98150;0,53000;0,82000
3866;0,98151;0,53000;0,82000
3867;0,98151;0,53000;0,82000
3868;0,98151;0,53000;0,82000
3869;0,98160;0,53000;0,82000
3870;0,98206;0,52000;0,82000
3871;0,98160;0,53000;0,82000
3872;0,98160;0,53000;0,82000
3873;0,98147;0,53000;0,83000
3874;0,98147;0,53000;0,83000
3875;0,98147;0,53000;0,83000
3876;0,98147;0,53000;0,83000
3877;0,98147;0,53000;0,84000
3878;0,98113;0,54000;0,84000
3879;0,98113;0,54000;0,84000
3880;0,98138;0,53000;0,84000
3881;0,98138;0,53000;0,84000
3882;0,98342;0,53000;0,85000
3883;0,98384;0,52000;0,86000
3884;0,98384;0,52000;0,86000
3885;0,98387;0,52000;0,87000
3886;0,98416;0,52000;0,86000
3887;0,98375;0,53000;0,86000
3888;0,98367;0,53000;0,86000
3889;0,98360;0,53000;0,86000
3890;0,98346;0,54000;0,85000
3891;0,98317;0,55000;0,85000
3892;0,98317;0,55000;0,85000
3893;0,98287;0,56000;0,84000
3894;0,98290;0,56000;0,84000
3895;0,98247;0,57000;0,84000
3896;0,98211;0,58000;0,84000
3897;0,98218;0,58000;0,84000
3898;0,98192;0,58000;0,85000
3899;0,98192;0,58000;0,85000
3900;0,98192;0,58000;0,85000
3901;0,98215;0,57000;0,85000
3902;0,98215;0,57000;0,85000
3903;0,98239;0,56000;0,85000
3904;0,98239;0,56000;0,84000
3905;0,98269;0,55000;0,84000
3906;0,98269;0,55000;0,84000
3907;0,98269;0,55000;0,85000
3908;0,98269;0,55000;0,85000
3909;0,98269;0,55000;0,85000
3910;0,98291;0,54000;0,85000
3911;0,98285;0,54000;0,85000
3912;0,98277;0,54000;0,84000
3913;0,98277;0,54000;0,84000
3914;0,98277;0,54000;0,84000
3915;0,98256;0,55000;0,84000
3916;0,98231;0,56000;0,84000
3917;0,98217;0,57000;0,84000
3918;0,98217;0,57000;0,84000
3919;0,98242;0,56000;0,84000
3920;0,98242;0,56000;0,84000
3921;0,98236;0,56000;0,85000
3922;0,98266;0,56000;0,84000
3923;0,98249;0,57000;0,84000
3924;0,98256;0,57000;0,84000
3925;0,98256;0,57000;0,84000
3926;0,98235;0,58000;0,84000
3927;0,98269;0,57000;0,84000
3928;0,98298;0,56000;0,84000
3929;0,98354;0,55000;0,85000
3930;0,98332;0,55000;0,86000
3931;0,98321;0,55000;0,86000
3932;0,98321;0,55000;0,86000
3933;0,98321;0,55000;0,86000
3934;0,98331;0,55000;0,85000
3935;0,98277;0,56000;0,85000
3936;0,98276;0,56000;0,85000
3937;0,98313;0,55000;0,86000
3938;0,98313;0,55000;0,86000
3939;0,98313;0,55000;0,86000
3940;0,98336;0,54000;0,87000
3941;0,98292;0,55000;0,87000
3942;0,98317;0,54000;0,87000
3943;0,98317;0,54000;0,87000
3944;0,98328;0,54000;0,87000
3945;0,98288;0,55000;0,87000
3946;0,98288;0,55000;0,87000
3947;0,98258;0,56000;0,87000
3948;0,98298;0,55000;0,87000
3949;0,98268;0,56000;0,87000
3950;0,98268;0,56000;0,87000
3951;0,98280;0,56000;0,87000
3952;0,98335;0,55000;0,88000
3953;0,98362;0,54000;0,88000
3954;0,98380;0,53000;0,89000
3955;0,98422;0,52000;0,89000
3956;0,98448;0,51000;0,90000
3957;0,98431;0,51000;0,91000
3958;0,98426;0,51000;0,91000
3959;0,98388;0,52000;0,91000
3960;0,98426;0,51000;0,91000
3961;0,98447;0,50000;0,91000
3962;0,98470;0,49000;0,91000
3963;0,98433;0,49000;0,91000
3964;0,98420;0,49000;0,91000
3965;0,98413;0,49000;0,90000
3966;0,98416;0,49000;0,90000
3967;0,98394;0,50000;0,89000
3968;0,98394;0,50000;0,89000
3969;0,98401;0,50000;0,89000
3970;0,98361;0,51000;0,89000
3971;0,98372;0,51000;0,89000
3972;0,98338;0,52000;0,89000
3973;0,98320;0,52000;0,89000
3974;0,98270;0,53000;0,89000
3975;0,98255;0,54000;0,88000
3976;0,98255;0,54000;0,88000
3977;0,98284;0,53000;0,88000
3978;0,98318;0,52000;0,88000
3979;0,98318;0,52000;0,88000
3980;0,98292;0,53000;0,88000
3981;0,98261;0,54000;0,88000
3982;0,98251;0,54000;0,88000
3983;0,98092;0,55000;0,87000
3984;0,98092;0,55000;0,87000
3985;0,98111;0,54000;0,87000
3986;0,98127;0,53000;0,88000
3987;0,98169;0,52000;0,87000
3988;0,98169;0,52000;0,87000
3989;0,98196;0,51000;0,87000
3990;0,98186;0,51000;0,87000
3991;0,98188;0,51000;0,86000
3992;0,98188;0,51000;0,86000
3993;0,97956;0,51000;0,87000
3994;0,97935;0,51000;0,88000
3995;0,97478;0,51000;0,88000
3996;0,97514;0,50000;0,88000
3997;0,97530;0,50000;0,87000
3998;0,97549;0,50000;0,86000
3999;0,97549;0,50000;0,86000
4000;0,97524;0,51000;0,86000
4001;0,97524;0,51000;0,86000
4002;0,97508;0,52000;0,86000
4003;0,97478;0,53000;0,86000
4004;0,97474;0,53000;0,87000
4005;0,97429;0,54000;0,87000
4006;0,97389;0,55000;0,87000
4007;0,97365;0,56000;0,87000
4008;0,97365;0,56000;0,87000
4009;0,97346;0,57000;0,87000
4010;0,97346;0,57000;0,87000
4011;0,97382;0,56000;0,87000
4012;0,97419;0,55000;0,88000
4013;0,97384;0,56000;0,88000
4014;0,97384;0,56000;0,88000
4015;0,97364;0,56000;0,88000
4016;0,97389;0,55000;0,88000
4017;0,97357;0,55000;0,88000
4018;0,97324;0,56000;0,88000
4019;0,97324;0,56000;0,88000
4020;0,97305;0,57000;0,88000
4021;0,97345;0,56000;0,88000
4022;0,97347;0,56000;0,88000
4023;0,97323;0,56000;0,88000
4024;0,97321;0,56000;0,88000
4025;0,97307;0,57000;0,88000
4026;0,97309;0,57000;0,87000
4027;0,97282;0,58000;0,86000
4028;0,97251;0,59000;0,86000
4029;0,96938;0,60000;0,85000
4030;0,96964;0,60000;0,85000
4031;0,96967;0,60000;0,85000
4032;0,96943;0,61000;0,85000
4033;0,96912;0,62000;0,85000
4034;0,96933;0,61000;0,86000
4035;0,96959;0,61000;0,86000
4036;0,96972;0,61000;0,85000
4037;0,96933;0,62000;0,85000
4038;0,96905;0,62000;0,84000
4039;0,96855;0,63000;0,84000
4040;0,96814;0,64000;0,84000
4041;0,96812;0,64000;0,84000
4042;0,96743;0,65000;0,84000
4043;0,96697;0,66000;0,84000
4044;0,96720;0,65000;0,84000
4045;0,96727;0,65000;0,84000
4046;0,96713;0,66000;0,84000
4047;0,96701;0,66000;0,84000
4048;0,96680;0,67000;0,83000
4049;0,96696;0,67000;0,82000
4050;0,96682;0,68000;0,82000
4051;0,96706;0,67000;0,82000
4052;0,96688;0,68000;0,82000
4053;0,96674;0,69000;0,82000
4054;0,96674;0,69000;0,82000
4055;0,96636;0,70000;0,82000
4056;0,96620;0,71000;0,81000
4057;0,96665;0,70000;0,81000
4058;0,96681;0,70000;0,80000
4059;0,96695;0,70000;0,80000
4060;0,96660;0,71000;0,79000
4061;0,96660;0,71000;0,79000
4062;0,96615;0,72000;0,79000
4063;0,96679;0,71000;0,79000
4064;0,96700;0,71000;0,80000
4065;0,96719;0,71000;0,81000
4066;0,96743;0,70000;0,81000
4067;0,96750;0,70000;0,81000
4068;0,96704;0,71000;0,81000
4069;0,96697;0,71000;0,81000
4070;0,96737;0,70000;0,81000
4071;0,96772;0,69000;0,81000
4072;0,96766;0,69000;0,81000
4073;0,96812;0,68000;0,81000
4074;0,96862;0,67000;0,81000
4075;0,96876;0,66000;0,82000
4076;0,96836;0,67000;0,82000
4077;0,96836;0,67000;0,82000
4078;0,96836;0,67000;0,82000
4079;0,96836;0,67000;0,82000
4080;0,96822;0,67000;0,82000
4081;0,96854;0,66000;0,82000
4082;0,96871;0,66000;0,81000
4083;0,97030;0,65000;0,82000
4084;0,97010;0,66000;0,81000
4085;0,97010;0,66000;0,81000
4086;0,97010;0,66000;0,81000
4087;0,96993;0,67000;0,82000
4088;0,96980;0,67000;0,82000
4089;0,96952;0,68000;0,82000
4090;0,96946;0,68000;0,83000
4091;0,96973;0,67000;0,84000
4092;0,96957;0,68000;0,84000
4093;0,97189;0,68000;0,84000
4094;0,97225;0,67000;0,84000
4095;0,97725;0,66000;0,84000
4096;0,97708;0,67000;0,83000
4097;0,97723;0,66000;0,84000
4098;0,97744;0,65000;0,85000
4099;0,97744;0,65000;0,85000
4100;0,97769;0,64000;0,85000
4101;0,97729;0,65000;0,85000
4102;0,97700;0,65000;0,85000
4103;0,97703;0,65000;0,85000
4104;0,97727;0,65000;0,85000
4105;0,97740;0,65000;0,85000
4106;0,97780;0,64000;0,85000
4107;0,97804;0,63000;0,85000
4108;0,97782;0,64000;0,85000
4109;0,97764;0,64000;0,85000
4110;0,97764;0,64000;0,85000
4111;0,97724;0,65000;0,85000
4112;0,97724;0,65000;0,85000
4113;0,97721;0,65000;0,85000
4114;0,97591;0,66000;0,85000
4115;0,97605;0,66000;0,84000
4116;0,97591;0,67000;0,83000
4117;0,97636;0,66000;0,83000
4118;0,97630;0,66000;0,83000
4119;0,97590;0,67000;0,83000
4120;0,97567;0,67000;0,83000
4121;0,97551;0,68000;0,83000
4122;0,97565;0,67000;0,84000
4123;0,97605;0,66000;0,84000
4124;0,97641;0,65000;0,84000
4125;0,97631;0,65000;0,84000
4126;0,97591;0,65000;0,84000
4127;0,97576;0,65000;0,85000
4128;0,97592;0,65000;0,84000
4129;0,97876;0,65000;0,85000
4130;0,97890;0,64000;0,85000
4131;0,97894;0,64000;0,84000
4132;0,97918;0,63000;0,84000
4133;0,97935;0,63000;0,84000
4134;0,97935;0,63000;0,84000
4135;0,97943;0,63000;0,84000
4136;0,97957;0,62000;0,85000
4137;0,97958;0,62000;0,85000
4138;0,97999;0,62000;0,86000
4139;0,98007;0,62000;0,86000
4140;0,98049;0,61000;0,86000
4141;0,98094;0,60000;0,86000
4142;0,98141;0,60000;0,86000
4143;0,98186;0,59000;0,86000
4144;0,98186;0,59000;0,86000
4145;0,98193;0,59000;0,86000
4146;0,98207;0,58000;0,86000
4147;0,98249;0,57000;0,86000
4148;0,98270;0,56000;0,87000
4149;0,98254;0,56000;0,88000
4150;0,98268;0,55000;0,88000
4151;0,98239;0,56000;0,88000
4152;0,98221;0,56000;0,87000
4153;0,98201;0,56000;0,87000
4154;0,98201;0,56000;0,87000
4155;0,98239;0,55000;0,87000
4156;0,98255;0,54000;0,88000
4157;0,98255;0,54000;0,88000
4158;0,98219;0,54000;0,88000
4159;0,98244;0,53000;0,88000
4160;0,98278;0,52000;0,89000
4161;0,98246;0,53000;0,89000
4162;0,98291;0,52000;0,89000
4163;0,98291;0,52000;0,89000
4164;0,98300;0,52000;0,88000
4165;0,98263;0,52000;0,88000
4166;0,98231;0,53000;0,88000
4167;0,98223;0,53000;0,89000
4168;0,98223;0,53000;0,89000
4169;0,98255;0,52000;0,89000
4170;0,98229;0,53000;0,89000
4171;0,98229;0,53000;0,89000
4172;0,98243;0,53000;0,89000
4173;0,98188;0,54000;0,88000
4174;0,98162;0,55000;0,88000
4175;0,98122;0,56000;0,88000
4176;0,98117;0,56000;0,88000
4177;0,98117;0,56000;0,88000
4178;0,98117;0,56000;0,88000
4179;0,98052;0,57000;0,88000
4180;0,98063;0,57000;0,88000
4181;0,98044;0,58000;0,88000
4182;0,98039;0,58000;0,89000
4183;0,98011;0,59000;0,88000
4184;0,98031;0,58000;0,89000
4185;0,98009;0,59000;0,89000
4186;0,98009;0,59000;0,89000
4187;0,98002;0,59000;0,89000
4188;0,98028;0,59000;0,88000
4189;0,98036;0,59000;0,87000
4190;0,98045;0,59000;0,87000
4191;0,98016;0,60000;0,87000
4192;0,98032;0,59000;0,87000
4193;0,98036;0,59000;0,87000
4194;0,98036;0,59000;0,87000
4195;0,98018;0,60000;0,86000
4196;0,98035;0,59000;0,87000
4197;0,98035;0,59000;0,87000
4198;0,98035;0,59000;0,87000
4199;0,98035;0,59000;0,87000
4200;0,98035;0,59000;0,87000
4201;0,98075;0,58000;0,87000
4202;0,98104;0,58000;0,87000
4203;0,98112;0,58000;0,86000
4204;0,98119;0,58000;0,85000
4205;0,98110;0,58000;0,85000
4206;0,98071;0,59000;0,84000
4207;0,98031;0,60000;0,84000
4208;0,98007;0,60000;0,84000
4209;0,98021;0,60000;0,83000
4210;0,98021;0,60000;0,83000
4211;0,98061;0,59000;0,83000
4212;0,98019;0,60000;0,83000
4213;0,98035;0,60000;0,83000
4214;0,98166;0,59000;0,83000
4215;0,98169;0,59000;0,83000
4216;0,98183;0,58000;0,84000
4217;0,98183;0,58000;0,84000
4218;0,98223;0,57000;0,84000
4219;0,98249;0,57000;0,83000
4220;0,98291;0,56000;0,83000
4221;0,98290;0,56000;0,83000
4222;0,98272;0,57000;0,82000
4223;0,98255;0,58000;0,82000
4224;0,98236;0,59000;0,82000
4225;0,98261;0,58000;0,82000
4226;0,98270;0,58000;0,83000
4227;0,98311;0,57000;0,83000
4228;0,98327;0,56000;0,84000
4229;0,98332;0,56000;0,84000
4230;0,98332;0,56000;0,84000
4231;0,98360;0,55000;0,85000
4232;0,98360;0,55000;0,85000
4233;0,98374;0,54000;0,85000
4234;0,98374;0,54000;0,85000
4235;0,98395;0,53000;0,85000
4236;0,98395;0,53000;0,85000
4237;0,98386;0,53000;0,85000
4238;0,98389;0,53000;0,84000
4239;0,98368;0,53000;0,84000
4240;0,98368;0,53000;0,84000
4241;0,98368;0,53000;0,84000
4242;0,98374;0,53000;0,84000
4243;0,98374;0,53000;0,84000
4244;0,98374;0,53000;0,84000
4245;0,98400;0,52000;0,84000
4246;0,98383;0,53000;0,84000
4247;0,98355;0,54000;0,84000
4248;0,98355;0,54000;0,84000
4249;0,98351;0,54000;0,84000
4250;0,98314;0,55000;0,84000
4251;0,98313;0,55000;0,84000
4252;0,98320;0,55000;0,84000
4253;0,98354;0,54000;0,84000
4254;0,98320;0,55000;0,84000
4255;0,98320;0,55000;0,84000
4256;0,98306;0,56000;0,84000
4257;0,98280;0,57000;0,84000
4258;0,98324;0,57000;0,84000
4259;0,98324;0,57000;0,84000
4260;0,98279;0,58000;0,84000
4261;0,98311;0,57000;0,84000
4262;0,98289;0,58000;0,84000
4263;0,98289;0,58000;0,84000
4264;0,98296;0,58000;0,85000
4265;0,98346;0,57000;0,85000
4266;0,98378;0,56000;0,85000
4267;0,98340;0,56000;0,84000
4268;0,98371;0,56000;0,83000
4269;0,98355;0,57000;0,82000
4270;0,98364;0,57000;0,82000
4271;0,98341;0,58000;0,82000
4272;0,98367;0,57000;0,82000
4273;0,98423;0,56000;0,83000
4274;0,98448;0,55000;0,83000
4275;0,98460;0,55000;0,83000
4276;0,98505;0,54000;0,83000
4277;0,98505;0,54000;0,83000
4278;0,98488;0,55000;0,82000
4279;0,98553;0,54000;0,82000
4280;0,98568;0,54000;0,82000
4281;0,98565;0,54000;0,82000
4282;0,98589;0,53000;0,82000
4283;0,98617;0,52000;0,83000
4284;0,98617;0,52000;0,83000
4285;0,98614;0,52000;0,83000
4286;0,98593;0,53000;0,83000
4287;0,98602;0,53000;0,82000
4288;0,98606;0,53000;0,82000
4289;0,98600;0,53000;0,83000
4290;0,98071;0,53000;0,83000
4291;0,98100;0,52000;0,83000
4292;0,98074;0,53000;0,83000
4293;0,98081;0,53000;0,82000
4294;0,98081;0,53000;0,82000
4295;0,98046;0,53000;0,83000
4296;0,98046;0,53000;0,83000
4297;0,98024;0,54000;0,83000
4298;0,98009;0,55000;0,83000
4299;0,98009;0,55000;0,83000
4300;0,97977;0,56000;0,83000
4301;0,97947;0,57000;0,83000
4302;0,97963;0,56000;0,83000
4303;0,97981;0,55000;0,84000
4304;0,97996;0,54000;0,85000
4305;0,98023;0,54000;0,84000
4306;0,98042;0,54000;0,84000
4307;0,98056;0,54000;0,84000
4308;0,98102;0,53000;0,84000
4309;0,98094;0,53000;0,85000
4310;0,98094;0,53000;0,85000
4311;0,98071;0,54000;0,85000
4312;0,98092;0,54000;0,85000
4313;0,98113;0,53000;0,85000
4314;0,98092;0,54000;0,85000
4315;0,98116;0,53000;0,86000
4316;0,98116;0,53000;0,86000
4317;0,98082;0,54000;0,86000
4318;0,98082;0,54000;0,86000
4319;0,98072;0,54000;0,86000
4320;0,98072;0,54000;0,86000
4321;0,98088;0,53000;0,86000
4322;0,98085;0,53000;0,87000
4323;0,98086;0,53000;0,87000
4324;0,98077;0,53000;0,87000
4325;0,98044;0,54000;0,87000
4326;0,98053;0,54000;0,87000
4327;0,98039;0,55000;0,86000
4328;0,98039;0,55000;0,86000
4329;0,98023;0,55000;0,86000
4330;0,98002;0,56000;0,85000
4331;0,97978;0,57000;0,85000
4332;0,97957;0,58000;0,85000
4333;0,97915;0,59000;0,85000
4334;0,97874;0,60000;0,85000
4335;0,97828;0,61000;0,85000
4336;0,97796;0,62000;0,85000
4337;0,97796;0,62000;0,85000
4338;0,97815;0,61000;0,86000
4339;0,97855;0,61000;0,86000
4340;0,97826;0,62000;0,85000
4341;0,97786;0,63000;0,85000
4342;0,97780;0,63000;0,85000
4343;0,97780;0,63000;0,85000
4344;0,97780;0,63000;0,85000
4345;0,97734;0,64000;0,85000
4346;0,97752;0,63000;0,85000
4347;0,97739;0,63000;0,85000
4348;0,97696;0,64000;0,85000
4349;0,97730;0,63000;0,85000
4350;0,97739;0,63000;0,85000
4351;0,97768;0,62000;0,85000
4352;0,97770;0,62000;0,86000
4353;0,97731;0,63000;0,86000
4354;0,97766;0,62000;0,86000
4355;0,97734;0,63000;0,86000
4356;0,97720;0,63000;0,86000
4357;0,97745;0,62000;0,86000
4358;0,97764;0,61000;0,87000
4359;0,97764;0,61000;0,87000
4360;0,97810;0,60000;0,87000
4361;0,97810;0,60000;0,87000
4362;0,97831;0,59000;0,87000
4363;0,97509;0,60000;0,86000
4364;0,97490;0,60000;0,86000
4365;0,97490;0,60000;0,86000
4366;0,97490;0,60000;0,86000
4367;0,97527;0,60000;0,87000
4368;0,97541;0,59000;0,88000
4369;0,97535;0,59000;0,89000
4370;0,97512;0,59000;0,89000
4371;0,97513;0,59000;0,89000
4372;0,97513;0,59000;0,89000
4373;0,97513;0,59000;0,89000
4374;0,97475;0,60000;0,88000
4375;0,97484;0,60000;0,88000
4376;0,97462;0,61000;0,88000
